A股代码,公司简称,公司全称,所属行业,A股上市日期,B股代码,省份,城市,公司网址,注册地址
300308,中际装备,山东中际电工装备股份有限公司,C 制造业,2012-04-10,,山东,烟台市,www.zhongji.cc,山东省龙口市诸由观镇驻地
300309,吉艾科技,吉艾科技（北京）股份公司,C 制造业,2012-04-10,,北京,北京市,www.gi-tech.cn,北京市丰台区海鹰路1号院2号楼2层201室
300310,宜通世纪,广东宜通世纪科技股份有限公司,I 信息技术,2012-04-25,,广东,广州市,www.etonetech.com,广东省广州市天河区建中路14、16号第三层东
300311,任子行,任子行网络技术股份有限公司,I 信息技术,2012-04-25,,广东,深圳市,www.1218.com.cn,广东省深圳市南山区高新区科技中2路软件园2栋6楼
300312,邦讯技术,邦讯技术股份有限公司,I 信息技术,2012-05-08,,北京,北京市,www.boomsense.com,北京市海淀区杏石口路80号益园文化创意产业基地A区4号楼一层
300313,天山生物,新疆天山畜牧生物工程股份有限公司,A 农林牧渔,2012-04-25,,新疆,昌吉回族自治州,www.xjtssw.com,新疆维吾尔自治区昌吉市高新区光明南路1号
300314,戴维医疗,宁波戴维医疗器械股份有限公司,C 制造业,2012-05-08,,浙江,宁波市,www.nbdavid.com,浙江省象山经济开发区滨海工业园金兴路35号
300315,掌趣科技,北京掌趣科技股份有限公司,I 信息技术,2012-05-11,,北京,北京市,www.ourpalm.com,北京市海淀区奥北产业基地29号楼（北楼）1-9层
300316,晶盛机电,浙江晶盛机电股份有限公司,C 制造业,2012-05-11,,浙江,绍兴市,www.jsjd.cc,浙江省绍兴市上虞区通江西路218号
300317,珈伟股份,深圳珈伟光伏照明股份有限公司,C 制造业,2012-05-11,,广东,深圳市,www.jiawei.com,广东省深圳市龙岗区坪地街道中心社区新发工业区1、2、3、4号
300318,博晖创新,北京博晖创新光电技术股份有限公司,C 制造业,2012-05-23,,北京,北京市,www.bohui-tech.com,北京市昌平区生命园路9号院
